datastore_v3:BeginTransaction datastore_v3:RunQuery datastore_v3:Commit datastore_v3:Put datastore_v3:Get datastore_v3:RunQuery datastore_v3:Delete datastore_v3:RunQuery datastore_v3:Next datastore_v3:RunQuery datastore_v3:Next datastore_v3:RunQuery datastore_v3:Next memcache:Set memcache:Get memcache:Delete Total 
5000 8 5 25 7 8 18 21 0 143 1 2240 0 2 1 2 7486
9000 10 5 26 11 14 22 19 0 127 0 1496 0 2 1 1 10746
6000 10 5 21 15 9 20 24 0 130 0 1377 0 2 2 2 7627
7000 10 11 20 15 12 36 21 0 153 1 1354 0 2 1 2 8651
6000 10 13 21 6 10 22 18 0 152 0 2477 0 2 2 2 8743
6000 11 7 23 7 9 21 17 0 181 0 1235 0 2 6 2 7531
8000 10 7 24 6 8 21 21 0 132 0 2506 0 2 1 1 10750
6000 11 6 24 6 10 15 21 0 135 0 1381 13 3 1 2 7630
5000 14 12 25 35 13 33 20 0 159 0 1341 0 2 1 2 6661
6000 9 7 21 7 9 21 24 0 129 0 1363 1 3 1 2 7605
7000 21 7 23 8 10 20 19 1 117 0 1368 0 3 2 2 8615
9000 10 6 30 11 12 21 19 0 266 1 1389 0 2 1 1 10771
8000 9 5 23 8 9 19 20 0 144 0 1329 0 2 1 2 9575
5000 9 5 40 7 10 19 28 0 187 0 1388 0 2 2 2 6700
6000 9 8 42 12 13 15 41 1 137 0 1337 1 2 1 2 7628
8000 9 5 42 8 13 22 41 0 158 0 1476 0 2 1 2 9784
8000 10 5 22 6 9 20 19 0 121 0 1535 0 3 1 2 9755
5000 11 5 25 7 10 26 20 0 138 0 1411 0 2 1 2 6663
6000 11 6 25 6 9 17 22 1 152 0 1323 0 3 1 1 7582
5000 16 6 24 8 9 15 21 0 152 0 1388 0 2 1 2 6649
6000 11 7 22 7 14 18 21 0 137 0 1096 1 3 1 2 7354
8000 14 5 23 7 10 19 21 0 140 0 1266 0 3 1 1 9521
7000 10 7 22 9 9 15 22 0 122 0 1160 0 2 2 2 8388
5000 13 7 21 9 10 29 21 0 179 0 1410 0 2 2 2 6720
6000 11 7 22 18 12 22 22 1 122 0 1300 0 2 1 2 7546
5000 19 5 21 7 8 22 19 0 148 0 1275 0 2 1 1 6533
12000 11 7 21 8 11 19 21 0 136 1 1457 0 2 1 2 13698
8000 12 9 24 10 13 16 24 0 162 0 1421 0 2 1 2 9709
8000 9 6 26 7 8 22 18 0 104 1 1147 0 2 2 2 9355
6000 11 5 29 8 10 32 36 0 149 0 1383 8 3 1 2 7680
7000 9 6 27 9 9 16 18 0 158 1 1291 0 3 2 2 8554
6000 9 7 25 7 9 15 19 0 134 0 1380 0 2 1 1 7614
11000 8 10 21 8 8 18 21 0 162 0 1127 0 3 4 4 12403
8000 8 6 18 7 14 23 20 0 133 0 1324 0 2 2 2 9562
5000 11 6 27 7 9 25 22 0 150 0 1288 0 2 1 1 6564
9000 11 5 24 6 11 24 18 0 128 0 1099 0 2 1 1 10333
7000 11 6 23 8 17 18 24 0 175 0 1383 0 2 2 2 8672
8000 11 7 27 6 9 19 20 0 109 0 1231 0 1 1 1 9447
9000 11 6 27 7 12 17 19 0 130 0 1275 0 3 2 3 10515
5000 11 6 21 7 10 21 19 0 267 0 1380 0 3 1 2 6752
5000 10 5 22 7 12 19 22 0 159 0 1115 0 2 1 2 6386
9000 9 5 19 7 9 23 19 0 157 0 1371 0 2 1 2 10631
5000 11 9 24 6 8 39 19 0 167 0 1352 0 2 1 2 6648
9000 9 6 22 7 10 19 24 0 128 0 1346 0 2 1 2 10587
6000 12 6 25 8 10 21 19 0 118 0 1213 0 2 1 1 7445
6000 9 5 21 7 16 20 19 0 131 0 1379 1 3 2 2 7625
9000 11 6 21 6 18 19 21 0 138 0 1358 0 2 2 3 10615
6000 11 6 20 6 9 21 20 0 114 0 1123 0 2 1 1 7336
7000 14 7 17 6 15 22 19 0 152 0 1332 0 3 1 2 8596
6000 12 6 25 7 11 22 24 1 133 0 1120 0 2 1 2 7372
6000 10 6 18 6 8 21 22 0 225 0 1348 0 3 1 1 7682
9000 12 19 25 7 10 23 17 0 109 0 1218 0 3 3 2 10454
7000 14 6 25 14 10 34 20 0 150 0 1345 1 2 1 2 8632
5000 10 6 21 7 9 24 19 0 135 1 1115 1 2 2 1 6357
7000 10 9 19 7 10 30 18 0 137 1 1316 0 2 2 2 8567
6000 12 5 20 7 10 26 22 0 142 0 1118 7 3 2 2 7379
10000 10 7 35 6 12 20 44 0 142 0 1253 0 2 1 2 11535
6000 10 6 19 7 13 16 27 0 130 0 1361 0 2 1 2 7603
6000 10 6 18 7 10 15 24 0 158 0 1133 0 2 2 2 7390
7000 11 6 21 7 10 25 18 0 136 0 1325 0 3 2 2 8580
7000 12 23 22 9 9 35 26 0 125 0 1415 0 2 2 1 8684
6000 11 8 27 8 9 25 22 0 118 1 1187 1 2 2 3 7432
7000 50 6 22 7 11 19 19 0 201 0 1339 0 2 1 2 8686
5000 9 7 20 8 9 23 23 0 156 0 1302 0 3 1 1 6577
7000 11 6 25 7 9 21 18 0 108 0 1275 0 3 1 2 8492
8000 10 7 28 7 9 20 21 0 131 0 1231 0 2 1 3 9471
7000 10 6 46 7 12 15 38 0 126 0 1384 0 2 2 2 8664
8000 10 7 21 6 9 20 20 1 120 0 2476 0 2 1 2 10710
6000 10 11 50 6 10 22 42 0 137 0 1350 0 2 2 2 7647
7000 12 5 21 7 10 19 19 0 150 0 1318 0 4 6 2 8576
