[sla] 333 1424427745574   138 131.93   
[sla] 334 1424427809255   138 131.92   
[sla] 335 1424427873061   138 131.90   
[sla] 336 1424427937421   138 131.88   
[sla] 337 1424428001252   138 131.86   
[sla] 338 1424428064973   138 131.85   
[sla] 339 1424428129686   138 131.83   
[sla] 340 1424428193226   138 131.81   
[sla] 341 1424428256923   138 131.79   
[sla] 342 1424428320369   138 131.77   
[sla] 343 1424428384113   138 131.76   
[sla] 344 1424428447448   138 131.74   
[sla] 345 1424428511441   138 131.72   
[sla] 346 1424428575134   138 131.70   
[sla] 347 1424428639460   138 131.69   
[sla] 348 1424428702843   138 131.67   
[sla] 349 1424428766658   138 131.65   
[sla] 350 1424428830782   138 131.63   
[sla] 351 1424428894706   138 131.61   
[sla] 352 1424428958555   138 131.60   
[sla] 353 1424429022488   135 131.58   
[sla] 354 1424429086189   135 131.56   
[sla] 355 1424429149913   135 131.54   
[sla] 356 1424429214366   135 131.53   
[sla] 357 1424429279049   135 131.51   
[sla] 358 1424429345855   135 131.49   
[sla] 359 1424429410546   135 131.47   
[sla] 360 1424429474847   135 131.45   
[sla] 361 1424429539728   135 131.44   
[sla] 362 1424429603313   135 131.42   
[sla] 363 1424429667630   135 131.40   
[sla] 364 1424429731717   135 131.38   
[sla] 365 1424429796109   135 131.36   
[sla] 366 1424429860561   135 131.35   
[sla] 367 1424429925619   135 131.33   
[sla] 368 1424429990119   135 131.31   
[sla] 369 1424430054848   135 131.29   
[sla] 370 1424430118958   135 131.27   
[sla] 371 1424430182487   135 131.26   
[sla] 372 1424430246026   135 131.24   
[sla] 373 1424430310098   135 131.22   
[sla] 374 1424430373715   135 131.20   
[sla] 375 1424430438267   135 131.19   
[sla] 376 1424430501720   135 131.17   
[sla] 377 1424430565306   135 131.15   
[sla] 378 1424430629016   135 131.13   
[sla] 379 1424430692562   135 131.12   
[sla] 380 1424430756255   135 131.10   
[sla] 381 1424430820263   135 131.08   
[sla] 382 1424430884178   135 131.06   
[sla] 383 1424430948225   135 131.04   
[sla] 384 1424431013380   135 131.03   
[sla] 385 1424431077808   135 131.01   
[sla] 386 1424431142049   135 130.99   
[sla] 387 1424431206757   138 130.97   
[sla] 388 1424431270446   138 130.95   
[sla] 389 1424431334091   138 130.94   
[sla] 390 1424431402984   138 130.92   
[sla] 391 1424431466745   138 130.90   
[sla] 392 1424431530470   138 130.88   
[sla] 393 1424431594562   138 130.86   
[sla] 394 1424431658635   138 130.85   
[sla] 395 1424431723225   138 130.83   
[sla] 396 1424431787021   138 130.81   
[sla] 397 1424431852039   138 130.79   
[sla] 398 1424431916946   138 130.78   
[sla] 399 1424431980993   138 130.76   
[sla] 400 1424432044935   138 130.74   
[sla] 401 1424432109952   138 130.72   
[sla] 402 1424432174543   138 130.70   
[sla] 403 1424432238411   138 130.69   
[sla] 404 1424432302629   138 130.67   
[sla] 405 1424432366971   138 130.65   
[sla] 406 1424432432153   138 130.63   
[sla] 407 1424432496091   138 130.61   
[sla] 408 1424432561325   138 130.60   
[sla] 409 1424432626378   138 130.58   
[sla] 410 1424432690591   138 130.56   
[sla] 411 1424432755022   138 130.54   
[sla] 412 1424432818514   138 130.52   
[sla] 413 1424432881839   138 130.51   
[sla] 414 1424432945392   138 130.49   
[sla] 415 1424433008862   138 130.47   
[sla] 416 1424433073070   138 130.45   
[sla] 417 1424433136651   138 130.44   
[sla] 418 1424433200479   138 130.42   
[sla] 419 1424433264382   138 130.40   
[sla] 420 1424433327954   138 130.38   
[sla] 421 1424433391453   138 130.37   
[sla] 422 1424433455814   138 130.35   
[sla] 423 1424433519705   138 130.33   
[sla] 424 1424433583993   138 130.31   
[sla] 425 1424433647939   138 130.29   
[sla] 426 1424433711641   138 130.28   
[sla] 427 1424433775106   138 130.26   
[sla] 428 1424433838805   138 130.24   
[sla] 429 1424433902569   138 130.22   
[sla] 430 1424433966462   138 130.21   
[sla] 431 1424434029941   138 130.19   
[sla] 432 1424434093746   138 130.17   
[sla] 433 1424434157530   138 130.15   
[sla] 434 1424434221574   138 130.14   
[sla] 435 1424434285539   138 130.12   
[sla] 436 1424434350490   138 130.10   
[sla] 437 1424434414692   138 130.08   
[sla] 438 1424434480111   138 130.06   
[sla] 439 1424434545016   138 130.05   
[sla] 440 1424434609345   138 130.03   
[sla] 441 1424434673546   138 130.01   
[sla] 442 1424434737937   138 129.99   
[sla] 443 1424434803078   138 129.97   
[sla] 444 1424434867654   138 129.96   
[sla] 445 1424434932754   138 129.94   
[sla] 446 1424434996720   138 129.92   
[sla] 447 1424435061368   138 129.90   
[sla] 448 1424435124904   138 129.88   
[sla] 449 1424435188811   138 129.87   
[sla] 450 1424435253057   138 129.85   
[sla] 451 1424435316637   138 129.83   
[sla] 452 1424435381209   138 129.81   
[sla] 453 1424435445606   138 129.80   
[sla] 454 1424435509491   138 129.78   
[sla] 455 1424435573182   135 129.76   
[sla] 456 1424435637554   135 129.74   
[sla] 457 1424435701749   135 129.72   
[sla] 458 1424435765674   135 129.71   
[sla] 459 1424435829923   135 129.69   
[sla] 460 1424435894815   135 129.67   
[sla] 461 1424435958673   135 129.65   
[sla] 462 1424436023285   135 129.63   
[sla] 463 1424436086784   135 129.62   
[sla] 464 1424436151340   135 129.60   
[sla] 465 1424436216381   135 129.58   
[sla] 466 1424436280605   135 129.56   
[sla] 467 1424436344707   135 129.55   
[sla] 468 1424436409349   138 129.53   
[sla] 469 1424436473490   138 129.51   
[sla] 470 1424436537923   138 129.49   
[sla] 471 1424436601923   138 129.47   
[sla] 472 1424436666151   138 129.46   
[sla] 473 1424436730303   138 129.44   
[sla] 474 1424436794058   138 129.42   
[sla] 475 1424436857910   138 129.40   
[sla] 476 1424436922181   138 129.38   
[sla] 477 1424436987074   138 129.37   
[sla] 478 1424437051138   135 129.35   
[sla] 479 1424437115237   135 129.33   
[sla] 480 1424437179661   135 129.31   
[sla] 481 1424437245800   135 129.30   
[sla] 482 1424437310633   135 129.28   
[sla] 483 1424437375922   135 129.26   
[sla] 484 1424437441369   138 129.24   
[sla] 485 1424437506235   138 129.22   
[sla] 486 1424437570960   138 129.20   
[sla] 487 1424437636372   138 129.19   
[sla] 488 1424437700877   138 129.17   
[sla] 489 1424437765659   138 129.15   
[sla] 490 1424437830315   138 129.13   
[sla] 491 1424437896058   138 129.11   
[sla] 492 1424437960477   138 129.10   
[sla] 493 1424438025476   138 129.08   
[sla] 494 1424438089084   138 129.06   
[sla] 495 1424438152595   138 129.04   
[sla] 496 1424438216901   138 129.03   
[sla] 497 1424438282134   138 129.01   
[sla] 498 1424438346502   138 128.99   
[sla] 499 1424438412181   138 128.97   
[sla] 500 1424438476528   138 128.95   
[sla] 501 1424438542245   135 128.93   
[sla] 502 1424438607889   135 128.92   
[sla] 503 1424438672074   135 128.90   
[sla] 504 1424438736305   135 128.88   
[sla] 505 1424438800833   135 128.86   
[sla] 506 1424438865715   135 128.85   
[sla] 507 1424438930700   135 128.83   
[sla] 508 1424438994954   135 128.81   
[sla] 509 1424439059287   135 128.79   
[sla] 510 1424439124405   135 128.77   
[sla] 511 1424439189028   135 128.76   
[sla] 512 1424439254135   135 128.74   
[sla] 513 1424439318774   135 128.72   
[sla] 514 1424439383042   135 128.70   
[sla] 515 1424439447555   135 128.68   
[sla] 516 1424439511822   135 128.67   
[sla] 517 1424439575849   135 128.65   
[sla] 518 1424439640104   135 128.63   
[sla] 519 1424439704725   135 128.61   
[sla] 520 1424439769569   135 128.59   
[sla] 521 1424439834039   135 128.58   
[sla] 522 1424439898668   135 128.56   
[sla] 523 1424439962486   135 128.54   
[sla] 524 1424440026038   135 128.52   
[sla] 525 1424440089696   135 128.51   
[sla] 526 1424440154314   135 128.49   
[sla] 527 1424440218677   135 128.47   
[sla] 528 1424440282227   135 128.45   
[sla] 529 1424440346048   135 128.43   
[sla] 530 1424440411322   135 128.42   
[sla] 531 1424440475615   135 128.40   
[sla] 532 1424440539668   135 128.38   
[sla] 533 1424440603702   135 128.36   
[sla] 534 1424440668363   135 128.34   
[sla] 535 1424440731792   135 128.33   
[sla] 536 1424440795259   135 128.31   
[sla] 537 1424440859031   135 128.29   
[sla] 538 1424440923050   135 128.27   
[sla] 539 1424440987193   135 128.26   
[sla] 540 1424441051321   135 128.24   
[sla] 541 1424441115017   135 128.22   
[sla] 542 1424441179625   135 128.20   
[sla] 543 1424441243577   135 128.18   
[sla] 544 1424441307540   135 128.17   
[sla] 545 1424441371872   135 128.15   
[sla] 546 1424441435884   135 128.13   
[sla] 547 1424441499673   135 128.11   
[sla] 548 1424441563796   135 128.10   
[sla] 549 1424441627612   135 128.08   
[sla] 550 1424441693094   135 128.06   
[sla] 551 1424441757791   135 128.04   
[sla] 552 1424441822711   135 128.02   
[sla] 553 1424441886769   135 128.01   
[sla] 554 1424441951132   135 127.99   
[sla] 555 1424442015415   135 127.97   
[sla] 556 1424442080970   135 127.95   
[sla] 557 1424442146668   135 127.93   
